usFirstName,usLastName,usStreetNumber,usStreetName,usCity,usState,usZip,usPhone,usSSN
Deidra,Franco,1542,Water St,Burlington,NY,27344,725-815-2045,595-24-9666
Merle,Quiroz,1522,Locust St,Siler City,NC,87547,352-543-6474,384-34-2857
Theresa,Mccann,5707,Old Camp Rd,Siler City,NC,87544,553-639-6175,699-59-3734
Vicki,Sands,537,Foreman Rd,Pittsboro,FL,95949,509-967-0111,702-95-0321
Tina,Boyer,155,N Hogan Loop,Grass Valley,OH,27344,010-375-3256,741-25-8012
Raleigh,Saunders,141,Dalewood Way,Pittsboro,OH,27215,213-051-1544,247-10-9081
Donnell,Atkins,10339,Timberland Drive,Gresham,NC,87544,188-647-3564,800-24-6155
Judith,Bellamy,1444,Thompson St,Burlington,CA,14612,573-581-1326,509-78-9778
Kim,Dickinson,121,Sw Palatine Hill Rd,Toledo,NC,27344,969-861-9767,018-19-7940
Earnest,Osborne,3324,Pete Thomas Rd,Toledo,FL,27207,549-111-9028,642-49-3981
