usFirstName,usLastName,usStreetNumber,usStreetName,usCity,usState,usZip,usPhone,usSSN
Ofelia,Cloud,1301,Canyon Glen,Los Alamos,OH,87544,741-208-3299,797-95-6687
Jane,Weiss,14849,Shady Dr,Burlington,OR,95949,893-265-6696,578-14-0870
Aimee,Baldwin,788,Lamont Norwood Rd,Los Alamos,OR,27215,546-680-8641,881-79-8528
Loren,Curtis,21420,Dalewood Way,Toledo,OR,27207,334-449-3896,836-35-5633
Angela,Bynum,33,Steele Field Rd,Gresham,CA,87544,155-922-3926,724-40-2485
Jenny,Greer,1330,Miranda Way,Toledo,NC,97030,041-782-9183,622-93-7322
Tyson,Haywood,10302,Sw 18Th Ct,Grass Valley,CA,32539,235-223-2714,794-23-9735
Calvin,Saenz,2006,Elm St,Rochester,OH,43604,652-221-7520,799-46-6460
Antione,Irizarry,10081,N Superior St,Toledo,NC,43604,127-698-0055,054-08-7504
Grover,Frye,17,Seminole,Miramar Beach,FL,43604,848-462-0057,103-57-3194
